text,type,urgency,location
"Appeal for other relief in Kerala, marked High urgency.",Other,High,Kerala
Volunteers needed for medical support in Himachal Pradesh.,Medical,Low,Himachal Pradesh
Crisis alert: Shelter required in Goa. Urgency is High.,Shelter,High,Goa
"Odisha facing medical shortage, urgency level: Low.",Medical,Low,Odisha
"Food emergency reported in Delhi, situation is Low.",Food,Low,Delhi
"Local authorities in Sikkim report other issues, response needed.",Other,Low,Sikkim
Urgent Food assistance required in Manipur.,Food,Medium,Manipur
"Delhi facing shelter shortage, urgency level: Medium.",Shelter,Medium,Delhi
"Appeal for other relief in Madhya Pradesh, marked High urgency.",Other,High,Madhya Pradesh
"Local authorities in Jharkhand report food issues, response needed.",Food,Low,Jharkhand
Urgent Other assistance required in Telangana.,Other,Medium,Telangana
"Appeal for rescue relief in Kerala, marked Medium urgency.",Rescue,Medium,Kerala
Urgent Food assistance required in Sikkim.,Food,Low,Sikkim
Crisis alert: Rescue required in Bihar. Urgency is High.,Rescue,High,Bihar
Lack of basic shelter services reported in Telangana.,Shelter,Low,Telangana
Citizens in Sikkim need immediate other aid.,Other,High,Sikkim
"Local authorities in Chennai report medical issues, response needed.",Medical,High,Chennai
Lack of basic medical services reported in Jharkhand.,Medical,High,Jharkhand
"Ladakh facing shelter shortage, urgency level: Low.",Shelter,Low,Ladakh
Crisis alert: Food required in Himachal Pradesh. Urgency is Medium.,Food,Medium,Himachal Pradesh
Crisis alert: Shelter required in Jharkhand. Urgency is Medium.,Shelter,Medium,Jharkhand
Volunteers needed for medical support in Delhi.,Medical,Low,Delhi
Urgent Medical assistance required in Telangana.,Medical,Low,Telangana
"Local authorities in Delhi report shelter issues, response needed.",Shelter,Low,Delhi
Severe shelter crisis unfolding in Rajasthan.,Shelter,High,Rajasthan
"Appeal for shelter relief in Telangana, marked High urgency.",Shelter,High,Telangana
Lack of basic medical services reported in Punjab.,Medical,Medium,Punjab
Severe medical crisis unfolding in Goa.,Medical,High,Goa
Citizens in Punjab need immediate rescue aid.,Rescue,Low,Punjab
"Local authorities in Tripura report other issues, response needed.",Other,High,Tripura
Citizens in Telangana need immediate shelter aid.,Shelter,Medium,Telangana
Lack of basic rescue services reported in Kerala.,Rescue,High,Kerala
Crisis alert: Medical required in Jharkhand. Urgency is Low.,Medical,Low,Jharkhand
Lack of basic food services reported in Kolkata.,Food,Medium,Kolkata
"Local authorities in Goa report shelter issues, response needed.",Shelter,Low,Goa
"Appeal for other relief in Punjab, marked High urgency.",Other,High,Punjab
"Jammu facing rescue shortage, urgency level: Low.",Rescue,Low,Jammu
"Food emergency reported in Goa, situation is High.",Food,High,Goa
Severe other crisis unfolding in Ladakh.,Other,Medium,Ladakh
"Appeal for food relief in Himachal Pradesh, marked Low urgency.",Food,Low,Himachal Pradesh
Volunteers needed for other support in Bihar.,Other,Low,Bihar
"Appeal for rescue relief in Bihar, marked Low urgency.",Rescue,Low,Bihar
Citizens in Nagaland need immediate rescue aid.,Rescue,Medium,Nagaland
"Local authorities in Rajasthan report rescue issues, response needed.",Rescue,Medium,Rajasthan
"Local authorities in Kerala report medical issues, response needed.",Medical,Medium,Kerala
"Appeal for rescue relief in Assam, marked Medium urgency.",Rescue,Medium,Assam
Urgent Rescue assistance required in Kolkata.,Rescue,High,Kolkata
Citizens in Jharkhand need immediate shelter aid.,Shelter,High,Jharkhand
Volunteers needed for medical support in Bihar.,Medical,Medium,Bihar
"Local authorities in Uttar Pradesh report rescue issues, response needed.",Rescue,Low,Uttar Pradesh
Crisis alert: Shelter required in Jammu. Urgency is Low.,Shelter,Low,Jammu
Volunteers needed for medical support in Mumbai.,Medical,Medium,Mumbai
Severe food crisis unfolding in Punjab.,Food,High,Punjab
Lack of basic other services reported in Delhi.,Other,High,Delhi
"Medical emergency reported in Chennai, situation is High.",Medical,High,Chennai
Lack of basic other services reported in Odisha.,Other,High,Odisha
Volunteers needed for other support in Manipur.,Other,Low,Manipur
"Food emergency reported in Kerala, situation is Medium.",Food,Medium,Kerala
"Medical emergency reported in Ladakh, situation is Medium.",Medical,Medium,Ladakh
"Food emergency reported in Delhi, situation is Medium.",Food,Medium,Delhi
Urgent Shelter assistance required in Kolkata.,Shelter,Low,Kolkata
Citizens in Goa need immediate other aid.,Other,High,Goa
"Chennai facing medical shortage, urgency level: Medium.",Medical,Medium,Chennai
Volunteers needed for shelter support in Nagaland.,Shelter,Medium,Nagaland
Citizens in Chennai need immediate medical aid.,Medical,High,Chennai
Citizens in Jammu need immediate medical aid.,Medical,High,Jammu
Lack of basic medical services reported in Kerala.,Medical,Low,Kerala
"Local authorities in Sikkim report rescue issues, response needed.",Rescue,Medium,Sikkim
"Local authorities in Meghalaya report rescue issues, response needed.",Rescue,Low,Meghalaya
"Sikkim facing food shortage, urgency level: Low.",Food,Low,Sikkim
"Rescue emergency reported in Andhra Pradesh, situation is Low.",Rescue,Low,Andhra Pradesh
"Shelter emergency reported in Manipur, situation is Medium.",Shelter,Medium,Manipur
Crisis alert: Rescue required in Madhya Pradesh. Urgency is High.,Rescue,High,Madhya Pradesh
Severe other crisis unfolding in Ladakh.,Other,Low,Ladakh
Citizens in Chennai need immediate medical aid.,Medical,Medium,Chennai
"Local authorities in Assam report rescue issues, response needed.",Rescue,Low,Assam
Citizens in Goa need immediate rescue aid.,Rescue,Low,Goa
Volunteers needed for food support in Manipur.,Food,High,Manipur
Citizens in Telangana need immediate food aid.,Food,Low,Telangana
Urgent Medical assistance required in Tripura.,Medical,Medium,Tripura
"Local authorities in Himachal Pradesh report shelter issues, response needed.",Shelter,Low,Himachal Pradesh
Volunteers needed for medical support in Jharkhand.,Medical,Medium,Jharkhand
"Local authorities in Bihar report food issues, response needed.",Food,Low,Bihar
"Food emergency reported in Meghalaya, situation is High.",Food,High,Meghalaya
"Gujarat facing other shortage, urgency level: Low.",Other,Low,Gujarat
"Gujarat facing rescue shortage, urgency level: High.",Rescue,High,Gujarat
Crisis alert: Shelter required in Jharkhand. Urgency is High.,Shelter,High,Jharkhand
Crisis alert: Other required in Telangana. Urgency is Low.,Other,Low,Telangana
"Medical emergency reported in Uttar Pradesh, situation is High.",Medical,High,Uttar Pradesh
"Manipur facing medical shortage, urgency level: High.",Medical,High,Manipur
"Appeal for other relief in Manipur, marked Low urgency.",Other,Low,Manipur
"Local authorities in Gujarat report other issues, response needed.",Other,Medium,Gujarat
Volunteers needed for shelter support in Chennai.,Shelter,Medium,Chennai
Volunteers needed for rescue support in Bihar.,Rescue,High,Bihar
"Local authorities in Ladakh report other issues, response needed.",Other,Low,Ladakh
Urgent Food assistance required in Bihar.,Food,Low,Bihar
Citizens in Nagaland need immediate shelter aid.,Shelter,Low,Nagaland
"Local authorities in Mumbai report rescue issues, response needed.",Rescue,High,Mumbai
Volunteers needed for other support in Punjab.,Other,High,Punjab
Urgent Medical assistance required in Telangana.,Medical,High,Telangana
Volunteers needed for shelter support in Goa.,Shelter,Low,Goa
Severe medical crisis unfolding in Rajasthan.,Medical,Low,Rajasthan
"Uttar Pradesh facing shelter shortage, urgency level: High.",Shelter,High,Uttar Pradesh
Lack of basic food services reported in Jharkhand.,Food,High,Jharkhand
Citizens in Sikkim need immediate medical aid.,Medical,Medium,Sikkim
"Medical emergency reported in Bihar, situation is Medium.",Medical,Medium,Bihar
Urgent Medical assistance required in Telangana.,Medical,High,Telangana
Crisis alert: Other required in Telangana. Urgency is Medium.,Other,Medium,Telangana
Urgent Rescue assistance required in Jammu.,Rescue,Low,Jammu
Citizens in Chennai need immediate shelter aid.,Shelter,Medium,Chennai
Urgent Other assistance required in Odisha.,Other,Low,Odisha
Citizens in Mumbai need immediate shelter aid.,Shelter,Low,Mumbai
Crisis alert: Shelter required in Madhya Pradesh. Urgency is Low.,Shelter,Low,Madhya Pradesh
"Appeal for medical relief in Kolkata, marked Low urgency.",Medical,Low,Kolkata
Volunteers needed for food support in Ladakh.,Food,Low,Ladakh
Severe food crisis unfolding in Delhi.,Food,Low,Delhi
Urgent Shelter assistance required in Kolkata.,Shelter,Medium,Kolkata
Lack of basic rescue services reported in Andhra Pradesh.,Rescue,High,Andhra Pradesh
"Appeal for rescue relief in Kolkata, marked High urgency.",Rescue,High,Kolkata
"Bihar facing medical shortage, urgency level: Low.",Medical,Low,Bihar
Citizens in Jammu need immediate other aid.,Other,High,Jammu
Citizens in Goa need immediate food aid.,Food,Medium,Goa
"Rescue emergency reported in Kolkata, situation is Low.",Rescue,Low,Kolkata
Citizens in Bihar need immediate food aid.,Food,Low,Bihar
"Other emergency reported in Uttar Pradesh, situation is Low.",Other,Low,Uttar Pradesh
Crisis alert: Shelter required in Nagaland. Urgency is High.,Shelter,High,Nagaland
Crisis alert: Medical required in Mumbai. Urgency is Medium.,Medical,Medium,Mumbai
Volunteers needed for shelter support in Meghalaya.,Shelter,Low,Meghalaya
Lack of basic other services reported in Rajasthan.,Other,High,Rajasthan
"Appeal for food relief in Jharkhand, marked Medium urgency.",Food,Medium,Jharkhand
Urgent Rescue assistance required in Telangana.,Rescue,High,Telangana
Crisis alert: Food required in Goa. Urgency is Low.,Food,Low,Goa
Lack of basic medical services reported in Mumbai.,Medical,High,Mumbai
Severe rescue crisis unfolding in Gujarat.,Rescue,Low,Gujarat
Crisis alert: Shelter required in Telangana. Urgency is High.,Shelter,High,Telangana
Volunteers needed for shelter support in Jharkhand.,Shelter,Low,Jharkhand
"Local authorities in Assam report rescue issues, response needed.",Rescue,Medium,Assam
"Medical emergency reported in Himachal Pradesh, situation is Low.",Medical,Low,Himachal Pradesh
"Local authorities in Punjab report other issues, response needed.",Other,Medium,Punjab
"Rescue emergency reported in Delhi, situation is Low.",Rescue,Low,Delhi
"Medical emergency reported in Tripura, situation is Low.",Medical,Low,Tripura
Severe medical crisis unfolding in Tripura.,Medical,Medium,Tripura
Citizens in Assam need immediate rescue aid.,Rescue,Low,Assam
Volunteers needed for other support in Tripura.,Other,High,Tripura
"Ladakh facing rescue shortage, urgency level: Low.",Rescue,Low,Ladakh
Urgent Shelter assistance required in Kolkata.,Shelter,Low,Kolkata
Crisis alert: Rescue required in Uttar Pradesh. Urgency is Medium.,Rescue,Medium,Uttar Pradesh
Lack of basic food services reported in Sikkim.,Food,Medium,Sikkim
"Appeal for rescue relief in Assam, marked High urgency.",Rescue,High,Assam
Urgent Rescue assistance required in Uttar Pradesh.,Rescue,High,Uttar Pradesh
Crisis alert: Other required in Kerala. Urgency is Medium.,Other,Medium,Kerala
Lack of basic food services reported in Tripura.,Food,Medium,Tripura
Crisis alert: Rescue required in Delhi. Urgency is High.,Rescue,High,Delhi
Volunteers needed for rescue support in Gujarat.,Rescue,Medium,Gujarat
Lack of basic shelter services reported in Kolkata.,Shelter,Low,Kolkata
Volunteers needed for rescue support in Bihar.,Rescue,Medium,Bihar
"Appeal for rescue relief in Kerala, marked Low urgency.",Rescue,Low,Kerala
"Local authorities in Tripura report food issues, response needed.",Food,High,Tripura
"Medical emergency reported in Bihar, situation is High.",Medical,High,Bihar
Crisis alert: Shelter required in Assam. Urgency is Low.,Shelter,Low,Assam
Crisis alert: Medical required in Kolkata. Urgency is Low.,Medical,Low,Kolkata
Lack of basic medical services reported in Bihar.,Medical,High,Bihar
"Appeal for rescue relief in Kolkata, marked Medium urgency.",Rescue,Medium,Kolkata
Volunteers needed for shelter support in Gujarat.,Shelter,Low,Gujarat
Citizens in Manipur need immediate other aid.,Other,Low,Manipur
Severe medical crisis unfolding in Jammu.,Medical,Medium,Jammu
Citizens in Jammu need immediate shelter aid.,Shelter,High,Jammu
"Appeal for food relief in Punjab, marked High urgency.",Food,High,Punjab
Urgent Other assistance required in Ladakh.,Other,High,Ladakh
Lack of basic medical services reported in Andhra Pradesh.,Medical,Medium,Andhra Pradesh
Lack of basic food services reported in Gujarat.,Food,Low,Gujarat
Lack of basic food services reported in Manipur.,Food,Low,Manipur
"Shelter emergency reported in Ladakh, situation is High.",Shelter,High,Ladakh
Crisis alert: Rescue required in Odisha. Urgency is High.,Rescue,High,Odisha
Severe food crisis unfolding in Gujarat.,Food,Low,Gujarat
Citizens in Andhra Pradesh need immediate shelter aid.,Shelter,High,Andhra Pradesh
Crisis alert: Medical required in Sikkim. Urgency is High.,Medical,High,Sikkim
Citizens in Goa need immediate other aid.,Other,Medium,Goa
"Shelter emergency reported in Andhra Pradesh, situation is Medium.",Shelter,Medium,Andhra Pradesh
Severe other crisis unfolding in Madhya Pradesh.,Other,Medium,Madhya Pradesh
"Medical emergency reported in Meghalaya, situation is Low.",Medical,Low,Meghalaya
Lack of basic rescue services reported in Sikkim.,Rescue,Medium,Sikkim
Volunteers needed for rescue support in Mumbai.,Rescue,Medium,Mumbai
"Kolkata facing rescue shortage, urgency level: Medium.",Rescue,Medium,Kolkata
Crisis alert: Food required in Odisha. Urgency is Medium.,Food,Medium,Odisha
Crisis alert: Rescue required in Ladakh. Urgency is High.,Rescue,High,Ladakh
"Other emergency reported in Meghalaya, situation is Low.",Other,Low,Meghalaya
Crisis alert: Other required in Sikkim. Urgency is High.,Other,High,Sikkim
Volunteers needed for medical support in Himachal Pradesh.,Medical,Medium,Himachal Pradesh
Severe food crisis unfolding in Tripura.,Food,Medium,Tripura
Severe other crisis unfolding in Chennai.,Other,Low,Chennai
"Punjab facing medical shortage, urgency level: Medium.",Medical,Medium,Punjab
Lack of basic shelter services reported in Jharkhand.,Shelter,Low,Jharkhand
Volunteers needed for food support in Manipur.,Food,Medium,Manipur
"Rescue emergency reported in Mumbai, situation is Medium.",Rescue,Medium,Mumbai
Citizens in Manipur need immediate food aid.,Food,High,Manipur
"Chennai facing other shortage, urgency level: Low.",Other,Low,Chennai
"Food emergency reported in Himachal Pradesh, situation is High.",Food,High,Himachal Pradesh
"Goa facing food shortage, urgency level: High.",Food,High,Goa
"Himachal Pradesh facing shelter shortage, urgency level: Medium.",Shelter,Medium,Himachal Pradesh
Crisis alert: Food required in Andhra Pradesh. Urgency is High.,Food,High,Andhra Pradesh
Urgent Rescue assistance required in Punjab.,Rescue,High,Punjab
"Appeal for medical relief in Sikkim, marked High urgency.",Medical,High,Sikkim
"Local authorities in Odisha report rescue issues, response needed.",Rescue,Low,Odisha
"Local authorities in Andhra Pradesh report shelter issues, response needed.",Shelter,High,Andhra Pradesh
"Food emergency reported in Assam, situation is Medium.",Food,Medium,Assam
"Other emergency reported in Manipur, situation is Medium.",Other,Medium,Manipur
Citizens in Chennai need immediate shelter aid.,Shelter,Low,Chennai
Lack of basic other services reported in Assam.,Other,Low,Assam
"Local authorities in Tripura report shelter issues, response needed.",Shelter,Low,Tripura
Crisis alert: Medical required in Mumbai. Urgency is Medium.,Medical,Medium,Mumbai
"Appeal for medical relief in Goa, marked Medium urgency.",Medical,Medium,Goa
Urgent Other assistance required in Ladakh.,Other,Low,Ladakh
"Manipur facing rescue shortage, urgency level: Medium.",Rescue,Medium,Manipur
"Telangana facing shelter shortage, urgency level: Low.",Shelter,Low,Telangana
"Medical emergency reported in Rajasthan, situation is Low.",Medical,Low,Rajasthan
"Gujarat facing rescue shortage, urgency level: Medium.",Rescue,Medium,Gujarat
"Food emergency reported in Jammu, situation is Medium.",Food,Medium,Jammu
Citizens in Manipur need immediate medical aid.,Medical,Low,Manipur
"Appeal for food relief in Mumbai, marked Medium urgency.",Food,Medium,Mumbai
"Appeal for medical relief in Jammu, marked Medium urgency.",Medical,Medium,Jammu
Crisis alert: Rescue required in Kolkata. Urgency is Low.,Rescue,Low,Kolkata
"Shelter emergency reported in Bihar, situation is Medium.",Shelter,Medium,Bihar
Citizens in Gujarat need immediate rescue aid.,Rescue,Medium,Gujarat
"Local authorities in Mumbai report other issues, response needed.",Other,Low,Mumbai
"Rescue emergency reported in Meghalaya, situation is High.",Rescue,High,Meghalaya
"Ladakh facing other shortage, urgency level: High.",Other,High,Ladakh
"Appeal for medical relief in Jharkhand, marked Medium urgency.",Medical,Medium,Jharkhand
"Medical emergency reported in Goa, situation is Medium.",Medical,Medium,Goa
Volunteers needed for food support in Sikkim.,Food,Low,Sikkim
Severe other crisis unfolding in Manipur.,Other,Medium,Manipur
"Appeal for rescue relief in Odisha, marked Low urgency.",Rescue,Low,Odisha
"Local authorities in Bihar report other issues, response needed.",Other,Low,Bihar
"Appeal for food relief in Andhra Pradesh, marked Medium urgency.",Food,Medium,Andhra Pradesh
"Local authorities in Punjab report medical issues, response needed.",Medical,High,Punjab
Severe medical crisis unfolding in Gujarat.,Medical,Medium,Gujarat
"Appeal for rescue relief in Mumbai, marked Low urgency.",Rescue,Low,Mumbai
"Rescue emergency reported in Bihar, situation is Low.",Rescue,Low,Bihar
Crisis alert: Rescue required in Himachal Pradesh. Urgency is Low.,Rescue,Low,Himachal Pradesh
Severe food crisis unfolding in Himachal Pradesh.,Food,Low,Himachal Pradesh
"Local authorities in Sikkim report food issues, response needed.",Food,High,Sikkim
Urgent Other assistance required in Manipur.,Other,High,Manipur
Volunteers needed for rescue support in Sikkim.,Rescue,Medium,Sikkim
Urgent Rescue assistance required in Mumbai.,Rescue,High,Mumbai
"Local authorities in Telangana report shelter issues, response needed.",Shelter,Low,Telangana
Volunteers needed for shelter support in Assam.,Shelter,Low,Assam
Severe rescue crisis unfolding in Jammu.,Rescue,Medium,Jammu
Lack of basic medical services reported in Chennai.,Medical,Medium,Chennai
"Rescue emergency reported in Meghalaya, situation is High.",Rescue,High,Meghalaya
Crisis alert: Other required in Nagaland. Urgency is Low.,Other,Low,Nagaland
"Appeal for other relief in Nagaland, marked Medium urgency.",Other,Medium,Nagaland
Severe shelter crisis unfolding in Chennai.,Shelter,Low,Chennai
"Appeal for shelter relief in Nagaland, marked Low urgency.",Shelter,Low,Nagaland
Severe medical crisis unfolding in Nagaland.,Medical,High,Nagaland
Citizens in Andhra Pradesh need immediate other aid.,Other,Medium,Andhra Pradesh
Urgent Food assistance required in Kerala.,Food,Medium,Kerala
"Food emergency reported in Andhra Pradesh, situation is High.",Food,High,Andhra Pradesh
Urgent Medical assistance required in Uttar Pradesh.,Medical,High,Uttar Pradesh
"Sikkim facing shelter shortage, urgency level: Low.",Shelter,Low,Sikkim
Crisis alert: Food required in Uttar Pradesh. Urgency is Medium.,Food,Medium,Uttar Pradesh
"Shelter emergency reported in Mumbai, situation is High.",Shelter,High,Mumbai
Lack of basic shelter services reported in Bihar.,Shelter,High,Bihar
Crisis alert: Rescue required in Uttar Pradesh. Urgency is High.,Rescue,High,Uttar Pradesh
Volunteers needed for food support in Nagaland.,Food,Medium,Nagaland
"Appeal for rescue relief in Jammu, marked High urgency.",Rescue,High,Jammu
Volunteers needed for food support in Jharkhand.,Food,Low,Jharkhand
"Food emergency reported in Madhya Pradesh, situation is Medium.",Food,Medium,Madhya Pradesh
"Sikkim facing food shortage, urgency level: Low.",Food,Low,Sikkim
"Mumbai facing shelter shortage, urgency level: High.",Shelter,High,Mumbai
Lack of basic shelter services reported in Uttar Pradesh.,Shelter,Medium,Uttar Pradesh
"Jammu facing other shortage, urgency level: Low.",Other,Low,Jammu
"Medical emergency reported in Goa, situation is High.",Medical,High,Goa
Citizens in Assam need immediate food aid.,Food,Low,Assam
"Local authorities in Nagaland report medical issues, response needed.",Medical,High,Nagaland
Citizens in Sikkim need immediate medical aid.,Medical,Low,Sikkim
"Appeal for other relief in Madhya Pradesh, marked Medium urgency.",Other,Medium,Madhya Pradesh
Lack of basic rescue services reported in Goa.,Rescue,Medium,Goa
Citizens in Gujarat need immediate medical aid.,Medical,High,Gujarat
"Appeal for other relief in Assam, marked Low urgency.",Other,Low,Assam
Citizens in Madhya Pradesh need immediate rescue aid.,Rescue,Low,Madhya Pradesh
Citizens in Tripura need immediate rescue aid.,Rescue,Low,Tripura
"Food emergency reported in Delhi, situation is Low.",Food,Low,Delhi
Severe other crisis unfolding in Jammu.,Other,High,Jammu
Lack of basic food services reported in Jharkhand.,Food,Low,Jharkhand
"Telangana facing rescue shortage, urgency level: Low.",Rescue,Low,Telangana
"Medical emergency reported in Kolkata, situation is High.",Medical,High,Kolkata
"Tripura facing shelter shortage, urgency level: Medium.",Shelter,Medium,Tripura
"Uttar Pradesh facing rescue shortage, urgency level: High.",Rescue,High,Uttar Pradesh
Citizens in Andhra Pradesh need immediate other aid.,Other,High,Andhra Pradesh
"Local authorities in Andhra Pradesh report medical issues, response needed.",Medical,Medium,Andhra Pradesh
Volunteers needed for other support in Nagaland.,Other,Low,Nagaland
Citizens in Kolkata need immediate other aid.,Other,High,Kolkata
Severe other crisis unfolding in Goa.,Other,High,Goa
"Rescue emergency reported in Meghalaya, situation is Low.",Rescue,Low,Meghalaya
Urgent Medical assistance required in Delhi.,Medical,Low,Delhi
Urgent Medical assistance required in Jharkhand.,Medical,Low,Jharkhand
Urgent Shelter assistance required in Kerala.,Shelter,High,Kerala
"Delhi facing rescue shortage, urgency level: Medium.",Rescue,Medium,Delhi
"Appeal for shelter relief in Bihar, marked Low urgency.",Shelter,Low,Bihar
Urgent Medical assistance required in Jammu.,Medical,High,Jammu
"Ladakh facing food shortage, urgency level: High.",Food,High,Ladakh
Volunteers needed for food support in Delhi.,Food,High,Delhi
"Appeal for medical relief in Jharkhand, marked Low urgency.",Medical,Low,Jharkhand
Urgent Rescue assistance required in Odisha.,Rescue,Medium,Odisha
"Local authorities in Kolkata report rescue issues, response needed.",Rescue,Low,Kolkata
"Other emergency reported in Goa, situation is Medium.",Other,Medium,Goa
Urgent Other assistance required in Jharkhand.,Other,High,Jharkhand
"Shelter emergency reported in Punjab, situation is Low.",Shelter,Low,Punjab
Urgent Food assistance required in Jammu.,Food,High,Jammu
"Goa facing shelter shortage, urgency level: Low.",Shelter,Low,Goa
"Appeal for rescue relief in Gujarat, marked Medium urgency.",Rescue,Medium,Gujarat
Severe food crisis unfolding in Telangana.,Food,High,Telangana
Urgent Shelter assistance required in Manipur.,Shelter,Low,Manipur
"Food emergency reported in Manipur, situation is High.",Food,High,Manipur
Volunteers needed for other support in Kolkata.,Other,Medium,Kolkata
"Medical emergency reported in Bihar, situation is High.",Medical,High,Bihar
"Madhya Pradesh facing other shortage, urgency level: Low.",Other,Low,Madhya Pradesh
Severe rescue crisis unfolding in Kolkata.,Rescue,High,Kolkata
Crisis alert: Medical required in Jharkhand. Urgency is Low.,Medical,Low,Jharkhand
"Nagaland facing other shortage, urgency level: High.",Other,High,Nagaland
Severe food crisis unfolding in Punjab.,Food,Medium,Punjab
"Appeal for food relief in Nagaland, marked Medium urgency.",Food,Medium,Nagaland
Citizens in Gujarat need immediate medical aid.,Medical,Medium,Gujarat
Lack of basic other services reported in Manipur.,Other,High,Manipur
"Medical emergency reported in Assam, situation is Low.",Medical,Low,Assam
"Appeal for rescue relief in Meghalaya, marked Medium urgency.",Rescue,Medium,Meghalaya
Citizens in Goa need immediate medical aid.,Medical,High,Goa
"Medical emergency reported in Ladakh, situation is High.",Medical,High,Ladakh
"Other emergency reported in Himachal Pradesh, situation is Medium.",Other,Medium,Himachal Pradesh
Urgent Rescue assistance required in Chennai.,Rescue,Low,Chennai
"Appeal for shelter relief in Chennai, marked Low urgency.",Shelter,Low,Chennai
"Food emergency reported in Tripura, situation is High.",Food,High,Tripura
Citizens in Uttar Pradesh need immediate other aid.,Other,Medium,Uttar Pradesh
"Appeal for medical relief in Nagaland, marked Medium urgency.",Medical,Medium,Nagaland
Citizens in Chennai need immediate medical aid.,Medical,Low,Chennai
Citizens in Kerala need immediate rescue aid.,Rescue,Medium,Kerala
"Local authorities in Manipur report food issues, response needed.",Food,Low,Manipur
"Mumbai facing other shortage, urgency level: High.",Other,High,Mumbai
"Local authorities in Jharkhand report rescue issues, response needed.",Rescue,Medium,Jharkhand
"Local authorities in Tripura report medical issues, response needed.",Medical,Medium,Tripura
Severe medical crisis unfolding in Ladakh.,Medical,Low,Ladakh
Severe rescue crisis unfolding in Gujarat.,Rescue,Low,Gujarat
Volunteers needed for other support in Odisha.,Other,Low,Odisha
Urgent Food assistance required in Chennai.,Food,Medium,Chennai
"Local authorities in Nagaland report rescue issues, response needed.",Rescue,Low,Nagaland
Crisis alert: Medical required in Assam. Urgency is Medium.,Medical,Medium,Assam
"Local authorities in Nagaland report food issues, response needed.",Food,High,Nagaland
Lack of basic rescue services reported in Manipur.,Rescue,Medium,Manipur
Crisis alert: Medical required in Andhra Pradesh. Urgency is High.,Medical,High,Andhra Pradesh
Severe rescue crisis unfolding in Gujarat.,Rescue,High,Gujarat
Urgent Food assistance required in Bihar.,Food,Medium,Bihar
Volunteers needed for food support in Bihar.,Food,Low,Bihar
"Appeal for other relief in Uttar Pradesh, marked Low urgency.",Other,Low,Uttar Pradesh
Lack of basic food services reported in Ladakh.,Food,Low,Ladakh
"Other emergency reported in Madhya Pradesh, situation is Medium.",Other,Medium,Madhya Pradesh
"Appeal for medical relief in Assam, marked Medium urgency.",Medical,Medium,Assam
Urgent Rescue assistance required in Madhya Pradesh.,Rescue,High,Madhya Pradesh
Crisis alert: Medical required in Jharkhand. Urgency is Medium.,Medical,Medium,Jharkhand
Lack of basic food services reported in Madhya Pradesh.,Food,Low,Madhya Pradesh
Citizens in Punjab need immediate food aid.,Food,Low,Punjab
Urgent Food assistance required in Mumbai.,Food,Medium,Mumbai
"Other emergency reported in Punjab, situation is Low.",Other,Low,Punjab
"Goa facing rescue shortage, urgency level: Medium.",Rescue,Medium,Goa
Lack of basic shelter services reported in Kolkata.,Shelter,High,Kolkata
Crisis alert: Other required in Ladakh. Urgency is Low.,Other,Low,Ladakh
Citizens in Gujarat need immediate shelter aid.,Shelter,Medium,Gujarat
"Local authorities in Assam report other issues, response needed.",Other,High,Assam
"Local authorities in Madhya Pradesh report medical issues, response needed.",Medical,Medium,Madhya Pradesh
"Appeal for medical relief in Jharkhand, marked High urgency.",Medical,High,Jharkhand
Crisis alert: Food required in Delhi. Urgency is Medium.,Food,Medium,Delhi
"Medical emergency reported in Himachal Pradesh, situation is Medium.",Medical,Medium,Himachal Pradesh
"Appeal for rescue relief in Himachal Pradesh, marked Medium urgency.",Rescue,Medium,Himachal Pradesh
Severe medical crisis unfolding in Mumbai.,Medical,Medium,Mumbai
Lack of basic medical services reported in Jharkhand.,Medical,High,Jharkhand
Volunteers needed for medical support in Himachal Pradesh.,Medical,Medium,Himachal Pradesh
Volunteers needed for other support in Manipur.,Other,Medium,Manipur
Severe other crisis unfolding in Jammu.,Other,Medium,Jammu
Lack of basic rescue services reported in Sikkim.,Rescue,High,Sikkim
Urgent Other assistance required in Odisha.,Other,Low,Odisha
Citizens in Uttar Pradesh need immediate rescue aid.,Rescue,Low,Uttar Pradesh
Lack of basic other services reported in Gujarat.,Other,High,Gujarat
"Jammu facing shelter shortage, urgency level: High.",Shelter,High,Jammu
"Appeal for rescue relief in Tripura, marked Low urgency.",Rescue,Low,Tripura
"Local authorities in Telangana report other issues, response needed.",Other,Low,Telangana
Severe other crisis unfolding in Mumbai.,Other,Medium,Mumbai
Volunteers needed for food support in Tripura.,Food,Low,Tripura
Urgent Rescue assistance required in Nagaland.,Rescue,High,Nagaland
"Other emergency reported in Bihar, situation is High.",Other,High,Bihar
Volunteers needed for other support in Bihar.,Other,Low,Bihar
Volunteers needed for food support in Goa.,Food,Low,Goa
"Local authorities in Gujarat report other issues, response needed.",Other,High,Gujarat
"Local authorities in Delhi report food issues, response needed.",Food,High,Delhi
Volunteers needed for shelter support in Himachal Pradesh.,Shelter,Low,Himachal Pradesh
Citizens in Sikkim need immediate shelter aid.,Shelter,Low,Sikkim
Urgent Medical assistance required in Kolkata.,Medical,High,Kolkata
"Rescue emergency reported in Chennai, situation is Low.",Rescue,Low,Chennai
"Local authorities in Bihar report food issues, response needed.",Food,High,Bihar
Crisis alert: Food required in Jammu. Urgency is Medium.,Food,Medium,Jammu
